gene	AD.Ex.grn.demo.txt.betweenness	AD.Ex.grn.demo.txt.degree_in	AD.Ex.grn.demo.txt.degree_out	Ctrl.Ex.grn.demo.txt.betweenness	Ctrl.Ex.grn.demo.txt.degree_in	Ctrl.Ex.grn.demo.txt.degree_out	AD.In.grn.demo.txt.betweenness	AD.In.grn.demo.txt.degree_in	AD.In.grn.demo.txt.degree_out	Ctrl.In.grn.demo.txt.betweenness	Ctrl.In.grn.demo.txt.degree_in	Ctrl.In.grn.demo.txt.degree_out	AD.Mic.grn.demo.txt.betweenness	AD.Mic.grn.demo.txt.degree_in	AD.Mic.grn.demo.txt.degree_out	Ctrl.Mic.grn.demo.txt.betweenness	Ctrl.Mic.grn.demo.txt.degree_in	Ctrl.Mic.grn.demo.txt.degree_out	AD.Oli.grn.demo.txt.betweenness	AD.Oli.grn.demo.txt.degree_in	AD.Oli.grn.demo.txt.degree_out	Ctrl.Oli.grn.demo.txt.betweenness	Ctrl.Oli.grn.demo.txt.degree_in	Ctrl.Oli.grn.demo.txt.degree_out
CEBPA	0	0	2	0	0	3	0	0	3	0	0	2	0	0	1	NA	NA	NA	NA	NA	NA	0	0	5
CEBPB	0	0	1	0	0	2	0	0	4	0	0	3	0	0	3	0	0	2	0	0	5	0	0	4
CEBPD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	0	0	1	0	0	1
CEBPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1	NA	NA	NA	0	0	1
CENPB	0	0	3	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	6	0	0	6
CHAF1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	40	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
CIB2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	33	0	0	22	0
CITED2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	53	0	0	52	0	NA	NA	NA	NA	NA	NA
CLOCK	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COQ7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	51	0	0	50	0	NA	NA	NA	NA	NA	NA
COX17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	0	0	36	0	NA	NA	NA	NA	NA	NA
CREB1	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0	0	1	NA	NA	NA
CREB3	0	0	5	0	0	5	0	0	3	0	0	3	NA	NA	NA	0	0	8	0	0	5	0	0	6
CREB3L1	0	0	5	0	0	4	0	0	7	0	0	6	NA	NA	NA	NA	NA	NA	0	0	9	0	0	12
CTCF	0	0	12	0	0	11	0	0	15	0	0	10	0	0	30	0	0	31	0	0	21	0	0	27
CTCFL	0	0	7	0	0	8	NA	NA	NA	0	0	9	NA	NA	NA	NA	NA	NA	0	0	19	0	0	18
DBP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA
DLX6	0	0	2	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUXA	0	0	3	0	0	5	0	0	5	0	0	4	NA	NA	NA	NA	NA	NA	0	0	2	0	0	2
E2F1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
E2F2	0	0	4	0	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E2F3	0	0	8	0	0	8	0	0	12	0	0	12	0	0	26	0	0	20	0	0	14	0	0	12
E2F4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	2	0	0	1	0	0	2
E2F6	0	0	3	0	0	3	0	0	1	0	0	1	0	0	4	0	0	2	0	0	3	0	0	4
E2F7	0	0	7	0	0	10	NA	NA	NA	0	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E2F8	0	0	3	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EBF1	0	0	8	0	0	11	0	0	11	0	0	13	0	0	17	NA	NA	NA	0	0	16	0	0	16
EDIL3	NA	NA	NA	NA	NA	NA	0	63	0	0	65	0	NA	NA	NA	NA	NA	NA	0	87	0	0	86	0
EGR1	0	0	15	0	0	12	0	0	14	0	0	13	0	0	31	NA	NA	NA	0	0	33	0	0	32
EGR2	0	0	4	0	0	4	NA	NA	NA	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR3	0	0	13	0	0	13	0	0	12	0	0	12	0	0	20	0	0	15	0	0	24	0	0	25
EGR4	0	0	9	0	0	11	NA	NA	NA	0	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	21
EHF	0	0	7	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	11	0	0	11
ELF1	0	0	8	0	0	6	0	0	4	0	0	5	0	0	12	0	0	13	0	0	9	0	0	12
ELF3	0	0	2	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	11
ELF4	0	0	5	0	0	4	0	0	3	0	0	4	0	0	5	0	0	4	0	0	4	0	0	8
ELF5	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA
ELK1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	3	0	0	3	0	0	2	0	0	2
ELK3	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2	0	0	1	NA	NA	NA	0	0	1
ELK4	0	0	1	0	0	2	0	0	2	0	0	2	0	0	4	0	0	3	0	0	2	0	0	2
EMX2	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EOMES	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	2	NA	NA	NA	NA	NA	NA
ESR1	0	0	14	0	0	15	0	0	16	0	0	15	0	0	41	0	0	33	0	0	34	0	0	30
ESR2	0	0	15	0	0	13	0	0	15	0	0	12	0	0	38	0	0	33	0	0	27	0	0	29
ESRRA	0	0	2	0	0	3	0	0	3	0	0	4	0	0	8	0	0	8	0	0	10	0	0	9
ESRRB	0	0	3	0	0	4	0	0	4	0	0	4	0	0	6	0	0	8	0	0	3	0	0	2
ETS1	0	0	3	0	0	4	0	0	2	0	0	3	0	0	3	0	0	3	0	0	2	0	0	1
ETV1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1	0	0	1	0	0	1
ETV2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	1
ETV3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETV4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
ETV5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
ETV6	0	0	2	0	0	1	NA	NA	NA	0	0	1	0	0	4	0	0	4	0	0	1	0	0	2
FAM13A	0	86	0	0	87	0	NA	NA	NA	NA	NA	NA	0	67	0	0	63	0	NA	NA	NA	NA	NA	NA
FAM47E	0	42	0	0	37	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEM1B	NA	NA	NA	NA	NA	NA	0	47	0	0	46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEV	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FIGLA	0	0	4	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLI1	0	0	2	0	0	2	0	0	5	0	0	4	0	0	5	0	0	6	0	0	6	0	0	4
FOS	0	0	8	0	0	8	0	0	7	0	0	9	0	0	10	0	0	11	0	0	11	0	0	13
FOSB	0	0	6	0	0	4	0	0	3	0	0	4	NA	NA	NA	0	0	2	NA	NA	NA	0	0	4
FOSL1	0	0	3	0	0	4	NA	NA	NA	0	0	6	NA	NA	NA	0	0	6	NA	NA	NA	NA	NA	NA
FOSL2	0	0	6	0	0	8	0	0	9	0	0	9	0	0	10	0	0	11	0	0	12	0	0	13
FOXB1	0	0	1	0	0	2	0	0	4	0	0	4	NA	NA	NA	NA	NA	NA	0	0	5	0	0	5
FOXF2	0	0	5	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	1
FOXH1	0	0	1	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXK1	0	0	2	0	0	2	0	0	3	0	0	3	0	0	4	0	0	7	0	0	5	0	0	8
FOXK2	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	0	0	2	0	0	2	0	0	3	0	0	3
FOXO3	0	0	1	0	0	1	0	0	4	0	0	2	NA	NA	NA	NA	NA	NA	0	0	3	0	0	4
FOXO4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
FOXO6	NA	NA	NA	NA	NA	NA	0	0	2	0	0	2	NA	NA	NA	NA	NA	NA	0	0	2	0	0	2
FOXP1	0	0	13	0	0	14	0	0	16	0	0	15	0	0	29	0	0	21	0	0	24	0	0	24
FOXP2	0	0	2	0	0	2	0	0	2	0	0	3	0	0	4	0	0	2	0	0	6	0	0	8
FRY	NA	NA	NA	NA	NA	NA	0	65	0	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GABPA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	1	0	0	2	0	0	1
GATA1	0	0	4	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	20	0	0	20
GATA3	0	0	5	0	0	7	NA	NA	NA	0	0	7	NA	NA	NA	NA	NA	NA	0	0	8	NA	NA	NA
GATA6	0	0	3	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	5	0	0	5
GBX1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCM2	0	0	2	0	0	2	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA
GLI2	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	2
GLIS1	0	0	10	0	0	8	0	0	10	0	0	11	NA	NA	NA	NA	NA	NA	0	0	23	0	0	19
GLIS2	0	0	5	0	0	5	0	0	7	0	0	5	NA	NA	NA	NA	NA	NA	0	0	9	0	0	12
GLIS3	0	0	9	0	0	9	0	0	13	0	0	12	0	0	27	0	0	30	0	0	19	0	0	20
GNE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	93	0	0	91	0
GNPDA1	NA	NA	NA	NA	NA	NA	0	53	0	0	54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPC6	NA	NA	NA	NA	NA	NA	0	72	0	0	75	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRHL1	0	0	2	0	0	2	0	0	2	0	0	2	NA	NA	NA	NA	NA	NA	0	0	1	0	0	1
GRHL2	0	0	7	0	0	7	0	0	6	0	0	7	NA	NA	NA	NA	NA	NA	0	0	10	0	0	8
HDAC5	0	73	0	0	79	0	0	95	0	0	98	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HES5	0	0	6	0	0	4	0	0	5	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HES7	0	0	7	0	0	9	0	0	10	0	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	16
HESX1	0	0	2	0	0	1	0	0	1	NA	NA	NA	0	0	2	0	0	1	0	0	1	0	0	1
HEY1	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEY2	NA	NA	NA	0	0	1	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1
HIC2	0	0	5	0	0	5	0	0	3	0	0	3	0	0	2	0	0	3	0	0	5	0	0	5
HIF1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	0	2	0	0	1	0	0	1
HINFP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	1	0	0	2	0	0	2
HIPK3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	63	0	0	58	0	0	76	0	0	72	0
HLF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMBOX1	0	0	2	0	0	2	0	0	1	NA	NA	NA	0	0	1	0	0	1	0	0	3	0	0	2
HMG20B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	60	0	0	59	0	0	56	0
HNF1A	0	0	10	0	0	9	0	0	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	12	0	0	20
HNF1B	0	0	5	0	0	5	0	0	9	0	0	6	NA	NA	NA	NA	NA	NA	0	0	13	NA	NA	NA
HNF4A	0	0	9	0	0	8	0	0	7	0	0	5	NA	NA	NA	NA	NA	NA	0	0	17	0	0	18
HNF4G	0	0	9	0	0	7	0	0	6	0	0	6	0	0	8	0	0	8	0	0	19	0	0	17
HNRNPR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	53	0	0	56	0	NA	NA	NA	NA	NA	NA
HSF1	0	0	16	0	0	15	0	0	17	0	0	15	0	0	28	0	0	23	0	0	29	0	0	26
HSF2	0	0	10	0	0	8	0	0	10	0	0	11	0	0	19	0	0	14	0	0	17	0	0	15
HSF4	0	0	5	0	0	4	0	0	6	0	0	5	0	0	3	0	0	2	0	0	8	0	0	8
ID4	0	0	4	0	0	4	0	0	4	0	0	3	NA	NA	NA	NA	NA	NA	0	0	5	NA	NA	NA
IGSF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	30	0	0	34	0	NA	NA	NA	NA	NA	NA
IKZF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	87	0	0	86	0	NA	NA	NA	NA	NA	NA
INSM1	0	0	4	0	0	4	0	0	4	0	0	3	NA	NA	NA	NA	NA	NA	0	0	11	0	0	9
IRF1	0	0	20	0	0	17	0	0	22	0	0	21	0	0	37	0	0	41	0	0	38	0	0	37
IRF2	0	0	14	0	0	16	0	0	18	0	0	18	0	0	37	0	0	39	0	0	29	0	0	28
IRF3	0	0	17	0	0	17	0	0	19	0	0	19	0	0	34	0	0	35	0	0	26	0	0	30
IRF4	0	0	5	0	0	7	NA	NA	NA	NA	NA	NA	0	0	26	0	0	23	0	0	16	0	0	14
IRF5	0	0	5	0	0	3	NA	NA	NA	0	0	5	0	0	10	0	0	8	0	0	5	NA	NA	NA
IRF7	NA	NA	NA	0	0	7	NA	NA	NA	0	0	12	0	0	28	0	0	27	0	0	24	0	0	23
IRF8	0	0	6	0	0	6	NA	NA	NA	NA	NA	NA	0	0	27	0	0	28	NA	NA	NA	NA	NA	NA
JDP2	0	0	5	0	0	6	0	0	8	0	0	8	0	0	7	0	0	6	0	0	9	0	0	9
JUN	0	0	10	0	0	11	0	0	13	0	0	14	0	0	18	0	0	20	0	0	16	0	0	16
JUNB	0	0	6	0	0	5	0	0	6	0	0	6	0	0	5	0	0	5	0	0	5	0	0	6
JUND	0	0	11	0	0	12	0	0	12	0	0	12	0	0	18	0	0	20	0	0	19	0	0	16
KLF13	0	0	14	0	0	13	0	0	17	0	0	14	0	0	31	0	0	29	0	0	23	0	0	20
KLF16	0	0	4	0	0	4	0	0	7	0	0	7	0	0	2	0	0	3	0	0	7	0	0	5
KLF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	52	0	0	52	0	NA	NA	NA	NA	NA	NA
KLF4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	0	0	3	NA	NA	NA	NA	NA	NA
KLF5	0	0	7	0	0	7	0	0	7	0	0	8	NA	NA	NA	NA	NA	NA	0	0	5	0	0	5
KLF9	0	0	7	0	0	7	0	0	5	0	0	7	0	0	14	0	0	11	0	0	10	0	0	11
KLLN	0	29	0	0	21	0	0	28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEF1	0	0	9	0	0	13	0	0	17	0	0	16	0	0	25	0	0	23	NA	NA	NA	0	0	23
LHFPL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	48	0	0	48	0	NA	NA	NA	NA	NA	NA
LHX2	NA	NA	NA	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LHX6	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LMX1A	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LMX1B	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LPAR6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71	0	0	63	0	NA	NA	NA	NA	NA	NA
MAF	0	0	12	0	0	14	0	0	11	0	0	12	0	0	31	0	0	30	0	0	22	0	0	24
MAFF	0	0	16	0	0	16	0	0	20	0	0	19	0	0	35	0	0	32	0	0	30	0	0	28
MAFG	0	0	10	0	0	13	0	0	14	0	0	13	0	0	22	0	0	23	0	0	21	0	0	20
MAFK	0	0	16	0	0	15	0	0	17	0	0	14	0	0	30	0	0	29	0	0	31	0	0	27
MAX	0	0	2	0	0	1	0	0	6	0	0	5	0	0	6	0	0	7	0	0	5	0	0	4
MBNL2	0	86	0	0	61	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEF2A	0	0	13	0	0	14	0	0	18	0	0	18	0	0	27	0	0	28	0	0	27	0	0	25
MEF2C	0	0	9	0	0	13	0	0	10	0	0	11	0	0	21	0	0	24	0	0	29	0	0	27
MEF2D	0	0	14	0	0	9	0	0	13	0	0	14	0	0	31	0	0	32	0	0	24	0	0	24
MEIS1	0	0	3	0	0	2	0	0	2	0	0	1	0	0	2	0	0	2	0	0	4	0	0	2
MEIS2	0	0	3	0	0	3	0	0	2	0	0	2	NA	NA	NA	NA	NA	NA	0	0	3	0	0	2
MEIS3	0	0	2	0	0	2	0	0	1	0	0	1	0	0	2	NA	NA	NA	0	0	4	0	0	3
MEOX1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEOX2	0	0	1	0	0	1	0	0	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFSD10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	54	0	0	41	0	NA	NA	NA	NA	NA	NA
MGA	0	0	1	0	0	2	0	0	2	0	0	1	0	0	1	0	0	1	0	0	4	0	0	2
MITF	0	0	6	0	0	5	0	0	6	0	0	5	0	0	21	0	0	16	0	0	13	0	0	15
MLX	0	0	1	0	0	1	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	0	0	1
